identified_name,occurrence_no,collection_no,paleodb_collection_no,collection_name,lng,lat,early_interval,late_interval,paleolat,paleolng,geoplate,ref_author,ref_pubyr,formation,member,stratgroup,zone,cc,state,direct_ma,direct_ma_error
Flexicalymene retrorsa retrorsa,1396048,1,192308,"Oldenburg, Lower Section",-85.20417,39.341667,Richmondian,,-24.78,-112.7,101,Hunda and Hughes,2007,Waynesville,Blanchester,,,US,Ohio,,
Flexicalymene retrorsa retrorsa,1396049,2,192309,Stony Hollow,-83.98333,39.408333,Richmondian,,-25.16,-111.75,101,Stumm and Kauffman,1958,Waynesville,Blanchester,,,US,Ohio,,
Flexicalymene retrorsa retrorsa,1396057,3,192314,Dent,-84.650002,39.183334,Maysvillian,,-21.54,-114.76,101,Key et al.,2010,Arnheim,,,,US,Ohio,,
Flexicalymene retrorsa retrorsa,1396059,4,192315,Mt. Orab Trilobite Shale Bed,-83.916664,39.033333,Maysvillian,,-21.99,-114.35,101,Key et al.,2010,Arnheim,,,,US,Ohio,,
Flexicalymene retrorsa retrorsa,1396062,5,192316,Madison trilobite shale bed. Roadcuts of U.S. Route 421 near Madison,-85.379997,38.735832,Maysvillian,,-21.59,-115.54,101,Key et al.,2010,Arnheim,,,,US,Indiana,,
Flexicalymene retrorsa retrorsa,1396132,6,192338,Ile aux Couleuvres,-72.173058,48.506943,Richmondian,,-19.71,-99.66,101,Desbiens and Lesp√©rance,1989,Ile aux Couleuvres,,,,CA,Québec,,
Flexicalymene retrorsa minuens,1396043,7,192305,Route 1 Section. Trilobite Shale. 1 km south of South Gate,-84.958336,39.3125,Richmondian,,-24.9,-112.53,101,Hunda and Hughes,2007,Waynesville,Blanchester,,,US,Indiana,,
Flexicalymene retrorsa minuens,1396047,8,192307,Caesar Creek. Treptoceras duseri shale bed,-84.061111,39.488888,Richmondian,,-25.06,-111.77,101,Hunda and Hughes,2007,Waynesville,Blanchester,,,US,Ohio,,
Flexicalymene retrorsa minuens,1396069,9,192318,"Little branch entering Cowans Creek, Clarksville",-83.92482,39.387959,Richmondian,,-25.2,-111.71,101,Key et al.,2010,Waynesville,Blanchester,,,US,Ohio,,
Gravicalymene sp. Ross 1967,1502555,10,209382,USGS 4870-CO. Valley View C,-84.5,37.916668,Chatfieldian,,-17.8,-114.44,101,Ross,1967,Grier Limestone,,,,US,Kentucky,,
Flexicalymene planimarginata,,11,,670 m E25˚S of Swallow Falls Hotel ,-3.8362784,53.099615,Longvillian,,,,315,"Howell, Francis, Leveridge & Evans",1978,Gelli-grîn,,,,UK,Wales,,
Broeggerolithus nicholsoni,,11,,670 m E25˚S of Swallow Falls Hotel ,-3.8362784,53.099615,Longvillian,,,,315,"Howell, Francis, Leveridge & Evans",1978,Gelli-grîn,,,,UK,Wales,,
Brongniartella minor,,11,,670 m E25˚S of Swallow Falls Hotel ,-3.8362784,53.099615,Longvillian,,,,315,"Howell, Francis, Leveridge & Evans",1978,Gelli-grîn,,,,UK,Wales,,
